Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
-30,336,[-0.00310658 -0.01124717],[6.09944463 5.24937987],[6.39746428 2.57050097],[ 0.01741497 -0.00580499  0.        ],"[[-177.03627   -228.68718  ]
 [  -7.9816155   -5.057228 ]
 [ -92.53435    -89.35933  ]
 [   4.6713076    7.7104034]
 [  -6.5327234   -3.1108708]
 [   4.6509647    8.233457 ]
 [ -26.148645   -23.282164 ]
 [   5.473023     8.1538   ]
 [ -11.144561    -7.936182 ]
 [   1.9395268    4.936161 ]
 [  -9.029937    -6.2241755]
 [   7.552143    10.007992 ]
 [ -24.487444   -21.987942 ]
 [  15.3537855   17.007387 ]
 [ -17.298107   -14.82547  ]
 [  -4.7690144   -3.7441773]
 [   1.256559     2.825737 ]
 [ -16.50546    -14.905621 ]
 [   5.360497     6.6356516]
 [  -5.6090584   -4.236677 ]]","[[-254.1072    -303.1589   ]
 [  43.749832    46.451202 ]
 [-111.775055  -107.35652  ]
 [  13.691713    15.972843 ]
 [  -9.343611    -4.23376  ]
 [  15.45998     18.674847 ]
 [ -31.13315    -27.221746 ]
 [   8.918479    11.150218 ]
 [ -18.011963   -13.401672 ]
 [  14.764645    17.16455  ]
 [ -13.3692      -8.93391  ]
 [   1.5701534    3.0337133]
 [ -14.238462   -10.488787 ]
 [   7.3218307    9.048456 ]
 [ -11.518074    -8.591581 ]
 [  -6.733265    -6.243486 ]
 [  -8.500929    -5.8036327]
 [   1.0319213    1.5061803]
 [ -14.62923    -11.989026 ]
 [   5.3314795    5.384755 ]]"
-30,342,[-0.00306122 -0.01029478],[4.73104775 5.39152205],[4.94329959 2.10635975],[ 0.01160998 -0.01160998 -0.01741497],"[[-183.53111    -235.08957   ]
 [  -6.093831     -2.920846  ]
 [ -91.110275    -87.84665   ]
 [   1.8806427     4.7674646 ]
 [  -4.0293484    -0.27962723]
 [   3.4472787     6.9489517 ]
 [ -27.098148    -24.233467  ]
 [   6.5715504     9.502242  ]
 [ -11.286245     -8.049499  ]
 [   2.5644534     5.506412  ]
 [ -11.43891      -8.397151  ]
 [   9.403463     11.751292  ]
 [ -24.854298    -22.169025  ]
 [  14.568156     16.377815  ]
 [ -16.12788     -13.783831  ]
 [  -7.329485     -6.173957  ]
 [   3.2667294     5.0153255 ]
 [ -17.689165    -16.262444  ]
 [   4.901575      6.464549  ]
 [  -5.387119     -4.1586714 ]]","[[-2.41676575e+02 -2.91144318e+02]
 [ 3.66344299e+01  3.94824066e+01]
 [-1.10025871e+02 -1.05764679e+02]
 [ 1.19393387e+01  1.42746811e+01]
 [-9.26772213e+00 -4.24022961e+00]
 [ 1.33491211e+01  1.64776669e+01]
 [-3.12626057e+01 -2.72973003e+01]
 [ 9.66958809e+00  1.18130283e+01]
 [-1.79913254e+01 -1.33277969e+01]
 [ 1.18651276e+01  1.41063137e+01]
 [-1.16745415e+01 -7.13881111e+00]
 [ 1.73149204e+00  3.22093058e+00]
 [-1.43984871e+01 -1.06255589e+01]
 [ 7.04877186e+00  8.75863457e+00]
 [-1.31492767e+01 -1.02870245e+01]
 [-4.03738976e+00 -3.32103252e+00]
 [-9.87356663e+00 -7.29173756e+00]
 [-6.77633286e-03  6.08653307e-01]
 [-1.26952477e+01 -1.00418358e+01]
 [ 3.77214861e+00  3.87443590e+00]]"
-30,348,[-0.00301587 -0.01052154],[3.17599952 4.74743545],[3.31203938 1.45919576],[ 0.00580499 -0.01160998  0.00580499],"[[-1.9099185e+02 -2.4252608e+02]
 [-2.9782758e+00 -3.0613765e-03]
 [-9.0307098e+01 -8.7250473e+01]
 [ 4.6482283e-01  3.0183218e+00]
 [-1.9444486e+00  1.6794056e+00]
 [ 2.6585813e+00  5.8633113e+00]
 [-2.6901176e+01 -2.4298864e+01]
 [ 6.6931906e+00  9.4478149e+00]
 [-1.0295114e+01 -7.2292361e+00]
 [ 2.9638858e+00  5.5548124e+00]
 [-1.2932253e+01 -9.9981060e+00]
 [ 1.0825609e+01  1.2814547e+01]
 [-2.4502829e+01 -2.1875854e+01]
 [ 1.4312979e+01  1.5843014e+01]
 [-1.5588854e+01 -1.3491699e+01]
 [-8.3794613e+00 -7.5176554e+00]
 [ 4.4724650e+00  6.0984635e+00]
 [-1.7856739e+01 -1.6746572e+01]
 [ 4.6128941e+00  5.9630547e+00]
 [-5.1516342e+00 -4.2073555e+00]]","[[-230.24223   -280.44614  ]
 [  30.710644    34.046104 ]
 [-108.35116   -104.68359  ]
 [  10.438879    13.156052 ]
 [  -8.464605    -3.9699159]
 [  10.997456    14.433565 ]
 [ -30.733486   -27.27312  ]
 [  10.008899    12.523626 ]
 [ -17.413105   -13.251685 ]
 [   9.608264    12.084205 ]
 [ -11.161244    -7.0994444]
 [   2.426219     4.328377 ]
 [ -13.967576   -10.670538 ]
 [   6.587655     8.661922 ]
 [ -14.116418   -11.855015 ]
 [  -2.6291814   -1.3730139]
 [  -9.015165    -6.9460144]
 [  -2.3160238   -1.3416557]
 [ -10.330433    -8.120328 ]
 [   2.6976728    3.200798 ]]"
-30,354,[-0.00297052 -0.01068027],[1.53191537 3.47356081],[1.59626827 0.85241549],[ 0.         -0.01160998  0.00580499],"[[-198.16655    -249.5011    ]
 [  -0.6436651     2.4602606 ]
 [ -88.83951     -85.77753   ]
 [  -0.9395032     1.6307967 ]
 [  -0.27813712    3.4918623 ]
 [   2.7503543     5.8932815 ]
 [ -27.173553    -24.419075  ]
 [   7.2494173     9.965506  ]
 [  -9.892561     -6.671139  ]
 [   3.448102      6.0412016 ]
 [ -13.082368    -10.077961  ]
 [  10.567332     12.634262  ]
 [ -22.789833    -20.125849  ]
 [  13.368931     15.0683365 ]
 [ -14.9017315   -12.909414  ]
 [  -9.051163     -8.109635  ]
 [   5.2321663     6.953165  ]
 [ -17.642458    -16.606209  ]
 [   3.749259      5.236503  ]
 [  -3.9311557    -3.1081247 ]]","[[-2.1934598e+02 -2.7019330e+02]
 [ 2.5428488e+01  2.9015053e+01]
 [-1.0713060e+02 -1.0391824e+02]
 [ 1.0000151e+01  1.2903007e+01]
 [-8.5922718e+00 -4.5656500e+00]
 [ 1.0039198e+01  1.3632526e+01]
 [-3.0715454e+01 -2.7699978e+01]
 [ 1.0580023e+01  1.3348491e+01]
 [-1.6696735e+01 -1.3029219e+01]
 [ 8.0469646e+00  1.0658164e+01]
 [-1.1126656e+01 -7.5256281e+00]
 [ 3.3691440e+00  5.5254650e+00]
 [-1.3863495e+01 -1.0993768e+01]
 [ 6.9358635e+00  9.2001972e+00]
 [-1.4855726e+01 -1.3060928e+01]
 [-1.8101835e+00 -2.5793311e-01]
 [-7.5381355e+00 -5.8624120e+00]
 [-4.2439322e+00 -3.0999975e+00]
 [-8.1519079e+00 -6.3264995e+00]
 [ 1.6894902e+00  2.4289730e+00]]"
-30,0,[-0.00292517 -0.00968254],[-0.12268327  3.34116042],[-0.12696796  0.402456  ],[-0.00580499 -0.00580499  0.        ],"[[-207.28491   -258.20575  ]
 [   3.544        6.9048347]
 [ -88.79469    -85.629456 ]
 [  -1.5364822    1.4065688]
 [   0.680014     4.5762153]
 [   3.0394688    6.464657 ]
 [ -27.107334   -24.114483 ]
 [   7.2374253   10.141922 ]
 [ -10.040939    -6.605222 ]
 [   4.314042     7.252097 ]
 [ -13.141022   -10.005119 ]
 [  10.134344    12.508341 ]
 [ -21.850388   -18.97018  ]
 [  12.660877    14.579458 ]
 [ -14.339142   -12.145917 ]
 [  -9.991767    -8.83339  ]
 [   6.186429     8.0569725]
 [ -18.443924   -17.158705 ]
 [   3.69122      5.3334136]
 [  -3.3642828   -2.368234 ]]","[[-209.9578    -260.9561   ]
 [  20.658867    24.58316  ]
 [-106.50637   -103.10339  ]
 [   9.049763    12.270719 ]
 [  -8.974802    -4.8158913]
 [   8.592621    12.531834 ]
 [ -30.609947   -27.478691 ]
 [  10.10689     13.309985 ]
 [ -16.560045   -12.829041 ]
 [   6.861779     9.808079 ]
 [ -11.939871    -8.229482 ]
 [   3.8960974    6.409336 ]
 [ -14.645087   -11.632799 ]
 [   6.6033416    9.167435 ]
 [ -14.801483   -12.816167 ]
 [  -2.657608    -0.7402007]
 [  -6.4233932   -4.554656 ]
 [  -5.9116335   -4.4443398]
 [  -7.0898046   -5.061146 ]
 [   0.6531649    1.7362733]]"
-30,6,[-0.00287982 -0.00965986],[-2.073704    4.82024908],[-2.15213329 -0.3863639 ],[-0.00580499 -0.00580499 -0.00580499],"[[-218.59833   -269.08682  ]
 [   9.896709    13.211077 ]
 [ -93.232086   -90.266754 ]
 [   1.6075305    4.7002172]
 [   1.1322461    4.591486 ]
 [   1.663382     5.2667704]
 [ -24.857319   -22.132479 ]
 [   8.001349    10.9338455]
 [ -14.1686     -11.010801 ]
 [   9.273283    12.364374 ]
 [ -13.6889305  -10.674032 ]
 [   8.286843    10.435077 ]
 [ -20.03391    -17.198154 ]
 [  10.88982     12.652532 ]
 [ -13.028563   -11.058075 ]
 [ -11.039154    -9.892517 ]
 [   5.346394     6.847336 ]
 [ -16.366365   -14.845865 ]
 [   1.985465     3.2628164]
 [  -2.7566824   -1.8100615]]","[[-203.29535    -254.47372   ]
 [  19.419922     23.315556  ]
 [-110.90015    -107.5877    ]
 [  12.55311      15.706583  ]
 [  -9.783461     -5.8860645 ]
 [   5.601211      9.521603  ]
 [ -27.81015     -24.874     ]
 [  10.67283      13.903019  ]
 [ -20.57751     -17.164898  ]
 [  10.529406     13.534111  ]
 [ -13.73546     -10.225143  ]
 [   4.5211215     6.9260893 ]
 [ -15.868414    -13.059812  ]
 [   6.7720013     9.232199  ]
 [ -14.064347    -12.198257  ]
 [  -3.7791111    -1.9512343 ]
 [  -5.940839     -4.2047653 ]
 [  -5.3875303    -3.801798  ]
 [  -6.57621      -4.7227592 ]
 [  -0.5369172     0.47013578]]"
-30,12,[-0.00283447 -0.01006803],[-3.72522175  5.44990599],[-3.88693124 -0.87220512],[-0.00580499 -0.00580499 -0.00580499],"[[-229.44583   -279.48007  ]
 [  15.614377    18.925594 ]
 [ -94.11965    -91.01317  ]
 [   1.8794942    5.025818 ]
 [   1.9289145    5.5848436]
 [   2.3277705    5.9596357]
 [ -23.705875   -20.760654 ]
 [   6.4912267    9.3655815]
 [ -14.066043   -10.691469 ]
 [  11.004997    14.189671 ]
 [ -13.422277   -10.208902 ]
 [   7.3752475    9.477922 ]
 [ -20.117844   -17.158268 ]
 [  11.282534    13.108226 ]
 [ -12.6329975  -10.499856 ]
 [ -10.979183    -9.864246 ]
 [   3.8331022    5.416637 ]
 [ -14.621609   -13.063763 ]
 [   1.2264271    2.6884236]
 [  -2.7482793   -1.9144053]]","[[-197.72842   -249.21144  ]
 [  19.212599    23.04281  ]
 [-112.81335   -109.54944  ]
 [  14.266607    17.303009 ]
 [ -11.068932    -7.2030854]
 [   5.2114058    8.988894 ]
 [ -26.618238   -23.684673 ]
 [  10.089064    13.196615 ]
 [ -21.099762   -17.75864  ]
 [  10.753536    13.638654 ]
 [ -13.1826725   -9.654533 ]
 [   4.530874     6.769228 ]
 [ -16.61065    -13.88419  ]
 [   6.6617785    8.989594 ]
 [ -12.605272   -10.724918 ]
 [  -4.7664537   -3.0139184]
 [  -4.977986    -3.305822 ]
 [  -5.7005205   -4.1639595]
 [  -6.341851    -4.524037 ]
 [   0.5806407    1.5819936]]"
-30,18,[-0.00278912 -0.01049887],[-5.23100972  5.2098906 ],[-5.48772335 -1.38774827],[-0.01160998  0.          0.00580499],"[[-2.4135733e+02 -2.9108026e+02]
 [ 2.2385830e+01  2.5588711e+01]
 [-9.5523308e+01 -9.2382401e+01]
 [ 2.7897243e+00  5.8443069e+00]
 [ 2.4178915e+00  6.0937386e+00]
 [ 3.6110704e+00  7.2892313e+00]
 [-2.2335930e+01 -1.9519646e+01]
 [ 4.2410693e+00  7.1613302e+00]
 [-1.3041605e+01 -9.7455473e+00]
 [ 1.2694010e+01  1.5866893e+01]
 [-1.3190468e+01 -9.8600101e+00]
 [ 6.2011223e+00  8.0285072e+00]
 [-2.0101463e+01 -1.7150799e+01]
 [ 1.2017687e+01  1.3869215e+01]
 [-1.1798346e+01 -9.7767534e+00]
 [-1.1870029e+01 -1.0795525e+01]
 [ 2.9278150e+00  4.3792667e+00]
 [-1.2415663e+01 -1.0880975e+01]
 [ 5.4906577e-02  1.5097110e+00]
 [-2.9760518e+00 -2.2915301e+00]]","[[-193.78592   -245.56363  ]
 [  20.129366    24.113869 ]
 [-115.30469   -112.04497  ]
 [  15.953611    19.004368 ]
 [ -12.206978    -8.2299595]
 [   4.387904     8.102787 ]
 [ -24.780975   -21.708197 ]
 [   8.686451    11.7728   ]
 [ -21.62748    -18.306644 ]
 [  10.765497    13.7459545]
 [ -12.047222    -8.486124 ]
 [   3.6920326    5.96122  ]
 [ -17.30368    -14.626896 ]
 [   6.697699     9.030225 ]
 [ -12.075855   -10.075481 ]
 [  -5.1633735   -3.4093747]
 [  -4.4691486   -2.7274733]
 [  -6.73003     -5.186903 ]
 [  -5.626777    -3.729465 ]
 [   1.409026     2.587298 ]]"
-30,24,[-0.00274376 -0.01004535],[-6.50889874  3.82463753],[-6.85548007 -2.05752909],[-0.01160998  0.          0.        ],"[[-2.5315234e+02 -3.0236783e+02]
 [ 2.8563347e+01  3.1903378e+01]
 [-9.7102509e+01 -9.3735901e+01]
 [ 4.1487837e+00  7.4145484e+00]
 [ 2.0856616e+00  6.0638762e+00]
 [ 5.8253059e+00  9.6279926e+00]
 [-2.2084881e+01 -1.8884327e+01]
 [ 2.1610658e+00  5.1052685e+00]
 [-1.1935240e+01 -8.3160210e+00]
 [ 1.4333252e+01  1.7760464e+01]
 [-1.4323467e+01 -1.0875632e+01]
 [ 5.1234226e+00  7.1387968e+00]
 [-1.9702003e+01 -1.6632851e+01]
 [ 1.1969663e+01  1.4097143e+01]
 [-1.0605992e+01 -8.4721823e+00]
 [-1.4551742e+01 -1.3342440e+01]
 [ 4.0125666e+00  5.6279268e+00]
 [-1.1589296e+01 -9.9337492e+00]
 [-1.6755359e+00  4.7634065e-02]
 [-2.4263144e+00 -1.8184092e+00]]","[[-1.89847458e+02 -2.41933273e+02]
 [ 2.07514229e+01  2.46827965e+01]
 [-1.16902969e+02 -1.13743126e+02]
 [ 1.75239773e+01  2.04653759e+01]
 [-1.31206436e+01 -9.19359779e+00]
 [ 4.15731335e+00  7.72418594e+00]
 [-2.31676292e+01 -2.01259155e+01]
 [ 7.71624660e+00  1.06928988e+01]
 [-2.21798611e+01 -1.90941563e+01]
 [ 1.09471540e+01  1.40234499e+01]
 [-1.02415009e+01 -6.89863443e+00]
 [ 2.21842766e+00  4.47613811e+00]
 [-1.70913868e+01 -1.46117325e+01]
 [ 7.08499813e+00  9.26604080e+00]
 [-1.23586540e+01 -1.03284292e+01]
 [-4.29040527e+00 -2.74546576e+00]
 [-4.03089952e+00 -2.29349422e+00]
 [-8.69983292e+00 -7.38378620e+00]
 [-2.34154940e+00 -3.85637641e-01]
 [-1.18242979e-01  9.70814586e-01]]"
-30,30,[-0.00269841 -0.01022676],[-7.62912095  0.80013528],[-8.04516375 -2.99079895],[-0.01160998  0.         -0.01160998],"[[-264.6901     -313.61685   ]
 [  34.49647      37.78369   ]
 [ -98.06945     -94.77747   ]
 [   6.0512867     9.358982  ]
 [   1.5640714     5.4999533 ]
 [   9.346006     13.171339  ]
 [ -23.003183    -19.864933  ]
 [   1.1394707     4.0749516 ]
 [ -10.556299     -7.044002  ]
 [  15.923598     19.413052  ]
 [ -16.75166     -13.495213  ]
 [   5.9137936     7.860056  ]
 [ -19.583143    -16.502428  ]
 [  12.576917     14.565658  ]
 [ -10.595349     -8.438595  ]
 [ -15.812212    -14.784735  ]
 [   5.6429114     7.2410526 ]
 [ -11.776407    -10.117743  ]
 [  -2.740295     -1.266211  ]
 [  -1.104799     -0.32852402]]","[[-186.48607   -238.85455  ]
 [  20.750376    24.811985 ]
 [-117.76984   -114.702835 ]
 [  18.058636    21.087063 ]
 [ -13.829582    -9.943031 ]
 [   3.9857297    7.5979366]
 [ -22.28004    -19.24762  ]
 [   6.6502943    9.661746 ]
 [ -22.756336   -19.824621 ]
 [  10.721245    14.014582 ]
 [  -8.315937    -5.1240377]
 [  -0.5562852    1.8299506]
 [ -15.652645   -13.293656 ]
 [   6.5377192    8.773081 ]
 [ -13.20672    -11.161064 ]
 [  -2.7776928   -1.2126561]
 [  -4.8459086   -3.1024737]
 [ -10.483398    -9.190975 ]
 [   1.4409745    3.5478096]
 [  -3.7892375   -2.6983473]]"
-30,36,[-0.00267574 -0.01038549],[-8.67053568 -1.57193393],[-9.13598776 -3.99395198],[-0.01160998  0.          0.04063492],"[[-273.97296    -322.59537   ]
 [  37.577995     39.844467  ]
 [ -97.267456    -94.15015   ]
 [   7.72596      10.310243  ]
 [   1.0525227     4.7199078 ]
 [  13.494562     16.668205  ]
 [ -25.091911    -22.34754   ]
 [   0.83348584    3.1388648 ]
 [  -8.394368     -5.236089  ]
 [  15.165577     17.813032  ]
 [ -18.005226    -14.983589  ]
 [   6.969807      8.114562  ]
 [ -18.953485    -16.178034  ]
 [  12.440161     13.829242  ]
 [ -11.457405     -9.808666  ]
 [ -14.389301    -13.877519  ]
 [   4.733109      5.927486  ]
 [ -10.853825     -9.824149  ]
 [  -4.2170067    -3.0633655 ]
 [   0.67702514    0.83131516]]","[[-1.83445312e+02 -2.36123901e+02]
 [ 2.03171673e+01  2.43681602e+01]
 [-1.18293793e+02 -1.15393524e+02]
 [ 1.82959499e+01  2.12893600e+01]
 [-1.45731382e+01 -1.08063450e+01]
 [ 4.19490528e+00  7.72319841e+00]
 [-2.19912300e+01 -1.90337982e+01]
 [ 5.51534271e+00  8.38485336e+00]
 [-2.28354874e+01 -2.00383568e+01]
 [ 1.04538460e+01  1.37403250e+01]
 [-6.95847368e+00 -3.94421768e+00]
 [-3.34734273e+00 -9.96500313e-01]
 [-1.35559826e+01 -1.13367195e+01]
 [ 5.64021683e+00  7.81889820e+00]
 [-1.45626125e+01 -1.26286068e+01]
 [-2.08454594e-01  1.31663156e+00]
 [-7.66601753e+00 -6.06857491e+00]
 [-9.82831383e+00 -8.58147049e+00]
 [ 2.87453222e+00  4.95560312e+00]
 [-6.69610548e+00 -5.67429161e+00]]"
-30,42,[-0.00263039 -0.01034014],[-9.65593398  0.48828706],[-10.1619029   -4.69675839],[-0.01160998  0.          0.04063492],"[[-2.8352051e+02 -3.3033801e+02]
 [ 3.9661083e+01  4.1352203e+01]
 [-9.5485733e+01 -9.0739380e+01]
 [ 7.8650160e+00  1.0520538e+01]
 [ 1.8605791e+00  6.9390826e+00]
 [ 1.5458660e+01  1.8613457e+01]
 [-2.6782961e+01 -2.2641481e+01]
 [-2.6741627e-01  1.9946287e+00]
 [-6.1056442e+00 -1.6213002e+00]
 [ 1.1626699e+01  1.4060476e+01]
 [-1.7758139e+01 -1.3199083e+01]
 [ 7.4602127e+00  8.3395996e+00]
 [-1.8704863e+01 -1.4310280e+01]
 [ 1.0348423e+01  1.1416234e+01]
 [-1.0587841e+01 -7.5083361e+00]
 [-1.4541316e+01 -1.4083095e+01]
 [ 3.6681175e+00  6.0377693e+00]
 [-1.0337061e+01 -9.3201332e+00]
 [-5.5973935e+00 -3.2369175e+00]
 [ 1.8046427e+00  1.9734004e+00]]","[[-181.02583   -233.9546   ]
 [  19.924397    24.264124 ]
 [-117.622925  -114.72289  ]
 [  17.5933      20.721012 ]
 [ -14.47169    -10.579391 ]
 [   4.536381     8.129337 ]
 [ -21.848534   -18.74981  ]
 [   4.270628     7.148014 ]
 [ -22.111721   -19.171162 ]
 [  10.122551    13.467279 ]
 [  -5.856865    -2.740673 ]
 [  -6.1825733   -3.8049998]
 [ -10.38019     -8.025    ]
 [   3.8215485    6.088563 ]
 [ -14.480349   -12.538157 ]
 [   0.9980378    2.6787302]
 [  -9.41957     -7.873196 ]
 [  -8.659765    -7.263159 ]
 [   3.1725497    5.272772 ]
 [  -8.387131    -7.2520356]]"
-30,48,[-0.00258503 -0.01006803],[-10.6592977    0.51900826],[-11.19561434  -5.43115437],[-0.01160998  0.          0.04063492],"[[-2.9285580e+02 -3.3807498e+02]
 [ 4.1641975e+01  4.2383110e+01]
 [-9.3250633e+01 -8.7282677e+01]
 [ 9.2547169e+00  1.1780177e+01]
 [ 1.4636148e+00  7.4233980e+00]
 [ 1.8470551e+01  2.1351658e+01]
 [-3.0152859e+01 -2.5042509e+01]
 [ 2.8451446e-01  2.1614220e+00]
 [-4.8908548e+00  4.0948710e-01]
 [ 6.7218318e+00  8.8168106e+00]
 [-1.4500990e+01 -8.9915428e+00]
 [ 6.8696108e+00  7.5123491e+00]
 [-1.9110811e+01 -1.3881865e+01]
 [ 9.2847414e+00  1.0220224e+01]
 [-9.7346163e+00 -6.0716372e+00]
 [-1.5042784e+01 -1.4531519e+01]
 [ 2.7977211e+00  5.7576103e+00]
 [-9.3734093e+00 -8.6859503e+00]
 [-7.5709171e+00 -4.1033025e+00]
 [ 3.3946967e+00  3.0335991e+00]]","[[-178.37523    -231.44385   ]
 [  18.290058     22.775724  ]
 [-115.9296     -112.96181   ]
 [  16.321548     19.543386  ]
 [ -14.633318    -10.645595  ]
 [   5.458165      9.145679  ]
 [ -22.670277    -19.512281  ]
 [   3.2907748     6.2406206 ]
 [ -21.586601    -18.565216  ]
 [  10.275633     13.736827  ]
 [  -6.3097525    -3.194951  ]
 [  -7.9338617    -5.459181  ]
 [  -7.960509     -5.5059724 ]
 [   1.922707      4.303147  ]
 [ -13.703386    -11.722231  ]
 [   0.42867184    2.1769767 ]
 [  -9.847702     -8.230439  ]
 [  -7.9570284    -6.498412  ]
 [   2.4112625     4.5734763 ]
 [  -8.956711     -7.76105   ]]"
-30,54,[-0.00253968 -0.00981859],[-11.8596673    0.36612082],[-12.42797971  -6.11540198],[-0.01160998  0.         -0.00580499],"[[-304.331     -348.6872   ]
 [  47.078373    47.27368  ]
 [ -92.158325   -86.17991  ]
 [  12.860699    15.859098 ]
 [  -0.5203067    4.9714184]
 [  21.927406    24.965914 ]
 [ -34.07702    -29.070599 ]
 [   2.9816089    4.8059793]
 [  -6.6804695   -1.8971887]
 [   4.431827     7.065337 ]
 [  -9.830432    -4.7469816]
 [   4.714864     5.347188 ]
 [ -18.868944   -13.22206  ]
 [   9.957247    10.280319 ]
 [ -10.655181    -6.901093 ]
 [ -14.345692   -13.446653 ]
 [   3.2381163    5.400831 ]
 [ -10.709486    -9.564794 ]
 [  -6.879479    -3.4627798]
 [   4.931486     4.4679346]]","[[-175.63176    -228.90057   ]
 [  15.829247     20.137234  ]
 [-113.507065   -110.71835   ]
 [  14.828343     17.996696  ]
 [ -14.913439    -11.174342  ]
 [   6.3345633     9.92701   ]
 [ -22.972775    -19.926126  ]
 [   1.3729281     3.9969234 ]
 [ -19.954128    -16.881195  ]
 [  10.0632305    13.270582  ]
 [  -7.3155985    -4.412188  ]
 [  -8.634886     -6.242008  ]
 [  -6.571256     -4.2919807 ]
 [   0.71295464    2.9989681 ]
 [ -12.898602    -11.019513  ]
 [  -0.6860325     0.80519724]
 [  -9.827299     -8.279594  ]
 [  -7.2487335    -5.882269  ]
 [   1.3038375     3.1700864 ]
 [  -9.419931     -8.190823  ]]"
-30,60,[-0.00251701 -0.00975057],[-13.44059587   1.55271336],[-14.08025146  -6.6259855 ],[-0.01160998  0.         -0.00580499],"[[-320.7441     -362.53827   ]
 [  59.393272     56.783382  ]
 [ -93.854065    -85.519775  ]
 [  17.478794     19.061111  ]
 [  -2.3847418     3.8174925 ]
 [  21.93552      24.90178   ]
 [ -33.597824    -28.893766  ]
 [   3.5290194     5.423594  ]
 [ -11.309568     -6.4871945 ]
 [   9.402946     11.850668  ]
 [ -10.390381     -4.955062  ]
 [   3.7947893     4.280098  ]
 [ -16.671446    -10.963166  ]
 [   7.842928      8.018826  ]
 [ -10.143684     -6.1720676 ]
 [ -12.235762    -11.640688  ]
 [   0.87586945    3.1764731 ]
 [ -10.031982     -8.936436  ]
 [  -5.111668     -1.458889  ]
 [   4.373068      3.452206  ]]","[[-171.79736    -225.03      ]
 [  12.699753     16.743778  ]
 [-110.316666   -107.60855   ]
 [  14.967946     18.295181  ]
 [ -16.273874    -12.902884  ]
 [   8.722238     12.427206  ]
 [ -22.703972    -19.671036  ]
 [  -0.58095276    1.654588  ]
 [ -17.300518    -13.942972  ]
 [  10.613369     13.577315  ]
 [  -9.121746     -6.4341846 ]
 [  -6.6029325    -4.034834  ]
 [  -6.909748     -4.9225683 ]
 [   1.4377313     3.7703314 ]
 [ -11.792297     -9.860548  ]
 [  -1.7094345    -0.59038055]
 [  -8.795214     -7.1189394 ]
 [  -6.3741283    -5.0734673 ]
 [   0.8971321     2.4086242 ]
 [  -9.577613     -8.120463  ]]"
-30,66,[-0.00247166 -0.0100907 ],[-14.7335732    2.10878715],[-15.4927516   -6.76382899],[-0.01741497  0.         -0.00580499],"[[-3.3318933e+02 -3.7245435e+02]
 [ 6.7679588e+01  6.2347664e+01]
 [-9.2650887e+01 -8.1568527e+01]
 [ 2.2041027e+01  2.1048241e+01]
 [-1.2382483e+01 -3.5090251e+00]
 [ 3.1103367e+01  3.1889891e+01]
 [-3.8268127e+01 -3.2271435e+01]
 [ 1.5051250e+00  3.0734565e+00]
 [-9.2907333e+00 -4.9910316e+00]
 [ 8.4851475e+00  1.2344177e+01]
 [-6.3504372e+00 -2.3487091e+00]
 [-2.1012335e+00 -7.7594936e-02]
 [-1.1350314e+01 -6.9262066e+00]
 [ 3.7343197e+00  4.8039608e+00]
 [-8.8945980e+00 -5.0660410e+00]
 [-1.0197752e+01 -1.0108486e+01]
 [-3.8842702e+00 -8.6952937e-01]
 [-5.9805784e+00 -4.8226271e+00]
 [-4.6108532e+00 -1.6695836e+00]
 [ 4.0886974e-01  9.3777233e-01]]","[[-1.6904614e+02 -2.2217952e+02]
 [ 9.5115814e+00  1.3838821e+01]
 [-1.0789994e+02 -1.0493602e+02]
 [ 1.5305131e+01  1.8960678e+01]
 [-1.8896996e+01 -1.5329733e+01]
 [ 1.1112552e+01  1.5150232e+01]
 [-2.3016693e+01 -1.9726711e+01]
 [-2.5471492e+00 -1.1237079e-01]
 [-1.5817989e+01 -1.2130942e+01]
 [ 1.1259987e+01  1.4476807e+01]
 [-1.1695827e+01 -8.8319302e+00]
 [-4.5792274e+00 -1.6988862e+00]
 [-8.2128220e+00 -5.9879112e+00]
 [ 2.0319128e+00  4.6853485e+00]
 [-1.1357149e+01 -9.1604557e+00]
 [-2.7288227e+00 -1.3957875e+00]
 [-8.6188669e+00 -6.6950645e+00]
 [-6.0050755e+00 -4.4303021e+00]
 [ 4.8807326e-01  2.1886239e+00]
 [-1.0401946e+01 -8.6959009e+00]]"
